[2021-07-13 17:36:46,846] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.161.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,847] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.161.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,847] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.161.13 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,847] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.176.8 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,847] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.176.9 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,847] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.177.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,848] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.177.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,848] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.202.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,848] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.203.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,849] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.203.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,849] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.203.7 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,849] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.203.10 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,850] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.213.3 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,850] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.227.1 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,850] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.227.4 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,850] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.227.5 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,851] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.29 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,851] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.30 because not in annotation (SQANTI/MatchAnnot) file.
[2021-07-13 17:36:46,851] {make_file_for_subsampling_from_collapsed:make_file_for_subsample():149} CRITICAL - Ignoring PB.229.31 because not in annotation (SQANTI/MatchAnnot) file.
